formula,Crystal System,band_gap_calculated (eV)
Ba3Sb2,Cubic,0
Ba3Sc4,Trigonal,0
Ba3Se,Cubic,0
Ba3Si23,Cubic,0
Ba3Si4,Tetragonal,0
Ba3Sm,Cubic,0
Ba3Sm,Hexagonal,0
Ba3Sm,Tetragonal,0
Ba3Sn2,Tetragonal,0.3747
Ba3Sn5,Orthorhombic,0
Ba3Sr,Cubic,0
Ba3Sr,Hexagonal,0
Ba3Sr,Tetragonal,0
Ba3Tb,Hexagonal,0
Ba3Tb,Tetragonal,0
Ba3Te,Hexagonal,0
Ba3Te,Tetragonal,0
Ba3Th,Cubic,0
Ba3Th,Hexagonal,0
Ba3Tm,Hexagonal,0
Ba3Tm,Tetragonal,0
Ba3Y,Hexagonal,0
Ba3Y,Tetragonal,0
Ba3Yb,Cubic,0
Ba3Yb,Tetragonal,0
Ba4Al,Cubic,0
Ba4Al5,Hexagonal,0
Ba4As3,Cubic,0
Ba4Bi3,Cubic,0
Ba4Ge23,Cubic,0
Ba4P3,Orthorhombic,0.7701
Ba4Pd,Cubic,0.0605
Ba4Pt,Cubic,0
Ba4Rh,Cubic,0
Ba4Si23,Cubic,0
Ba5As3,Hexagonal,0
Ba5Bi3,Hexagonal,0
Ba5Ga6,Hexagonal,0
Ba5Ga6,Monoclinic,0.0507
Ba5Ge3,Tetragonal,0
Ba5P4,Orthorhombic,0.93935
Ba5P9,Orthorhombic,0
Ba5Pb3,Tetragonal,0
Ba5Sb3,Hexagonal,0
Ba5Sb4,Orthorhombic,0.27855
Ba5Si3,Tetragonal,0
Ba5Sn3,Tetragonal,0
Ba6Ge25,Cubic,0.0823
Ba6Mg23,Cubic,0
Ba6Si25,Cubic,0.0432
Ba7Al10,Trigonal,0
Ba7Al13,Trigonal,0
Ba7Cd31,Hexagonal,0
Ba7Ge39,Orthorhombic,0
Ba7Ge6,Orthorhombic,0
Ba7Hg31,Hexagonal,0.017
Ba8Ga7,Cubic,0
Ba8Ge43,Cubic,0.0208
Ba8Ge43,Trigonal,0
Ba9In4,Tetragonal,0
BaAc3,Hexagonal,0
BaAg,Orthorhombic,0
BaAg2,Hexagonal,0
